# {"t_start": 1553409298.3841975, "env_id": null} 
r,l,t
326.994583,102,254.343162
181.129001,68,254.578237
407.875907,122,255.360549
210.22706,70,255.604244
253.535057,88,255.910781
370.878601,137,256.763921
366.804474,133,257.575466
118.134364,47,257.740001
232.956392,81,258.022964
336.051557,111,258.403132
208.036933,66,258.985765
234.381397,98,259.324527
270.655666,93,259.644909
331.997036,101,260.351934
265.664012,92,260.670561
167.398592,73,260.924393
232.896583,91,261.604208
252.112415,97,261.934931
293.258011,100,262.648155
274.431594,87,262.947411
284.575467,96,263.279378
326.417549,116,264.043467
224.74074,76,264.308348
387.480619,124,265.094536
239.044317,82,265.378814
328.263352,122,265.812597
646.887493,220,266.929016
386.360089,118,267.694012
371.733868,144,268.192237
233.215006,82,268.839475
269.955227,109,269.218908
487.421305,158,270.119042
393.797084,118,270.533628
341.477532,143,271.382493
335.505159,109,271.768286
254.101546,80,272.047512
276.753057,98,272.741693
525.436775,166,273.316153
338.143627,136,274.150277
290.480655,117,274.556987
322.813232,105,275.272744
234.548501,79,275.550801
339.037421,109,276.283576
341.818519,128,276.727308
251.043919,78,276.99891
275.456579,86,277.656058
291.570018,110,278.044297
321.833213,125,278.830685
184.509657,63,279.054826
393.582305,117,279.460302
283.646691,91,280.125052
236.228202,91,280.438013
275.359648,102,280.796826
452.061546,152,281.68258
323.328509,122,282.100092
202.869116,62,282.678131
290.746467,97,283.01491
221.582072,81,283.294363
340.484186,96,283.994883
208.348932,84,284.28692
257.244485,92,284.606399
334.887719,107,285.32934
216.677614,86,285.626282
563.802627,145,286.500076
282.381583,106,286.867003
297.858122,92,287.554856
259.879442,102,287.909601
279.734879,97,288.245029
177.106819,55,288.801744
169.530189,55,288.994299
646.457577,215,290.099958
275.372706,89,290.405029
426.919207,122,290.837527
238.253483,90,291.515123
516.716715,152,292.042138
339.475852,125,292.830012
505.208396,147,293.339631
250.905726,94,294.029063
234.126692,73,294.27837
574.206965,178,295.26108
265.37938,95,295.591553
302.107344,103,296.307061
232.117186,86,296.602196
209.592932,80,296.878204
443.719804,150,297.761942
260.956575,102,298.112557
265.987064,93,298.793428
360.69341,108,299.17772
239.874856,97,299.509103
311.260019,99,300.201414
218.586426,90,300.512628
268.690284,90,300.82672
220.933081,74,301.443318
400.740741,131,301.900796
325.969587,107,302.629105
384.210399,117,303.038179
337.637903,109,303.776219
683.212804,212,304.520633
332.891365,135,305.344805
285.018123,110,305.726935
457.442103,139,306.585602
363.336501,129,307.031549
319.178479,104,307.747735
383.175433,122,308.168821
270.471507,93,308.865293
217.804422,71,309.111283
226.715956,87,309.408828
310.058423,101,310.126464
270.802956,91,310.458763
332.12101,93,310.783623
308.409573,101,311.476496
249.123167,76,311.750751
287.275554,97,312.089188
403.739331,146,312.94025
303.522561,92,313.26075
408.77107,158,314.164398
327.49394,107,314.53864
302.763749,102,315.23951
304.595495,114,315.634453
393.476654,113,316.383433
286.73026,104,316.741495
299.988751,108,317.47769
274.276553,104,317.844883
265.059718,94,318.172204
139.254938,48,318.338864
261.207258,83,318.968987
362.113557,147,319.485794
354.447467,104,320.199234
308.06805,95,320.528833
262.658245,84,320.821909
246.433309,91,321.495153
371.702133,129,321.944989
159.805805,52,322.477537
303.586853,100,322.826894
237.679091,77,323.102116
229.237054,78,323.730799
357.982141,114,324.129373
346.557553,103,324.488319
289.65612,110,325.226556
182.21106,75,325.486873
248.203831,80,325.765283
275.454172,88,326.418947
277.354675,118,326.834299
476.163551,144,327.696877
270.42083,89,328.017868
468.165023,163,328.937958
319.588675,95,329.270874
265.251976,76,329.548243
353.767145,103,330.248981
198.455506,71,330.503226
267.717446,102,331.201154
312.261454,118,331.630739
148.832476,51,331.817801
216.801273,87,332.468549
334.459315,119,332.881447
186.756622,64,333.100884
252.696363,80,333.742422
418.201182,147,334.258756
287.171847,83,334.545564
288.851604,97,335.231382
322.596349,111,335.620915
361.482829,114,336.370753
254.636976,93,336.691775
301.548751,99,337.041195
286.874215,83,337.699896
206.692669,74,337.974423
491.073188,176,338.929543
336.541316,101,339.276196
159.266363,65,339.501003
255.38505,99,340.210793
254.646804,116,340.613383
353.255594,109,341.34982
315.496284,100,341.698029
289.047236,90,342.01353
329.646172,112,342.752437
344.717709,118,343.161726
231.508055,82,343.807274
277.486417,101,344.156567
189.365059,63,344.378412
406.931081,120,345.149544
303.973931,102,345.501004
283.476784,98,346.205403
330.018698,103,346.56804
354.543244,121,346.998557
194.219841,63,347.567556
448.316224,136,348.051892
250.583806,75,348.329532
286.490644,86,348.964669
365.235346,117,349.372536
185.643571,72,349.979431
278.869094,95,350.308424
378.243985,114,350.709434
259.326551,80,351.343589
391.25814,120,351.76149
522.922215,148,352.632157
285.218432,89,352.957801
239.363861,79,353.231174
260.678711,97,353.914206
365.641156,116,354.319789
497.144097,145,355.177949
281.704477,99,355.520183
423.622116,124,356.31523
275.109954,90,356.631133
410.274252,128,357.077252
272.736311,94,357.758378
317.023508,95,358.086826
265.829288,85,358.745934
311.629041,126,359.185659
251.531386,83,359.471671
497.003268,144,360.338426
340.69634,118,360.746026
