# {"t_start": 1552729570.8799193, "env_id": null} 
r,l,t
0.255248,21,190.58341
0.336877,46,191.142091
0.443042,26,191.468294
0.320961,22,191.680675
0.514252,19,191.848636
0.346293,24,192.085495
0.078212,36,192.500733
0.376388,23,192.782401
0.175339,28,193.02398
0.486971,23,193.441768
0.130485,21,193.619764
0.336475,29,193.833463
0.22295,30,194.122361
0.44054,28,194.356431
0.41305,24,194.559964
0.191022,17,194.696673
0.350233,18,194.831918
0.389687,28,195.087928
0.434899,33,195.383607
0.485779,23,195.583716
0.447099,21,195.756452
0.264896,20,195.934021
0.357378,48,196.469285
0.375908,29,196.793735
0.222573,18,196.987789
0.251521,22,197.177943
0.157199,17,197.299231
0.305901,34,197.546616
0.415493,20,197.707718
0.353052,28,197.918841
0.27679,34,198.202031
0.359441,33,198.705911
0.209345,24,198.883547
0.544249,27,199.093864
0.507018,56,199.687693
0.351334,18,199.825628
0.298751,42,200.268536
0.358294,22,200.436831
0.395896,32,200.752666
0.221878,35,201.12177
0.123722,20,201.36639
0.279515,19,201.600878
0.329036,22,201.95543
0.284763,27,202.214494
0.178063,15,202.339097
0.320998,20,202.501669
0.36946,25,202.699417
0.466789,26,202.958732
0.590901,41,203.539652
0.466992,30,203.891841
0.441216,22,204.172214
0.266058,31,204.470523
0.294006,49,204.839575
0.668063,25,205.030916
0.351906,20,205.178408
0.272025,23,205.342241
0.425912,26,205.552669
0.258074,20,205.711248
0.370719,37,205.979722
0.346764,26,206.17284
0.288743,29,206.389527
0.382031,32,206.638606
0.172959,30,206.863065
0.44355,21,207.016582
0.565027,30,207.263508
0.527795,27,207.471154
0.155049,18,207.604254
0.162913,22,207.764868
0.352426,17,207.890429
0.330002,41,208.186091
0.247762,20,208.34322
0.345239,34,208.601105
0.719072,38,208.902472
0.543135,32,209.186661
0.301471,14,209.30068
0.408794,35,209.560337
0.468808,16,209.693786
0.120016,28,209.901692
0.164732,23,210.075429
0.443035,39,210.354694
0.089559,31,210.581062
0.333955,24,210.765987
