# {"env_id": null, "t_start": 1552797576.7086205} 
r,l,t
0.147152,36,284.007362
2.032525,43,284.670872
1.755666,13,284.854872
1.556965,23,285.210139
2.244058,33,285.674495
1.478837,21,285.967339
1.832072,16,286.19218
2.249027,35,286.6764
1.967949,44,287.284048
2.552038,28,287.735135
2.817017,35,288.312345
1.294665,8,288.514345
2.131793,36,289.119691
2.582801,26,289.698605
1.718941,19,290.401012
2.231619,31,291.495671
2.138798,19,291.996252
2.209115,46,293.157984
2.745674,41,294.203675
3.527681,23,294.908937
1.977379,12,295.210496
2.712689,20,295.703031
1.928999,31,296.471162
1.555471,44,297.551728
2.309838,41,298.909782
2.668053,34,299.94373
2.695297,44,301.052925
1.750549,17,301.476491
0.205672,28,302.474136
2.112683,31,303.323975
1.268538,17,303.921825
2.069485,24,304.759672
1.204912,6,304.988467
2.300811,23,305.775056
2.155601,41,307.181854
1.531359,11,307.515052
1.512874,23,308.131086
3.904509,35,309.162313
2.960683,24,310.100922
2.450163,16,310.532391
3.386808,35,311.434442
2.273946,32,312.270406
2.237519,17,312.729453
2.411368,43,313.844562
1.70238,19,314.33507
1.763292,14,314.822748
0.837421,26,315.617336
1.628864,16,316.02396
2.193527,18,316.498792
3.475214,40,317.657259
1.941327,43,318.767263
2.092478,24,319.265026
3.396973,39,319.87074
1.861741,41,320.424421
0.505683,35,320.903511
1.766494,9,321.032371
2.57524,15,321.240664
3.113637,39,321.832467
2.516286,40,322.366524
1.943221,40,322.905653
1.71763,14,323.097926
2.591625,39,323.627226
2.126854,44,324.219088
1.739341,17,324.451696
2.379454,44,325.037576
1.73836,30,325.513834
3.152624,30,325.917744
1.635317,21,326.201601
3.17496,40,326.741986
3.346607,39,327.264872
1.824573,27,327.63291
2.251572,31,328.049808
1.114679,23,328.361082
1.768137,23,328.737354
2.053173,43,329.326856
1.712507,15,329.540389
2.231688,32,329.969672
1.177754,24,330.29374
1.30681,18,330.543291
1.445688,23,330.853649
3.060579,38,331.360353
3.520487,41,331.911714
1.555271,12,332.076525
