EpThisIter,EpRewMean,meankl,EpisodesSoFar,TimeElapsed,EpLenMean,TimestepsSoFar,surrgain,entloss,entropy,ev_tdlam_before,optimgain
7,2.5029074482690943,0.013340484,6037,10430.004623413086,33.8,205187,0.27876064,0.0,38.124393,0.8665028661489487,0.27876064
7,2.4389930706151755,0.0041173096,6044,10443.05461025238,33.5,205444,0.22193913,0.0,38.12345,0.93794159963727,0.22193913
7,2.4928707640857155,0.013360987,6051,10455.99548125267,35.025,205714,0.51568234,0.0,38.12284,0.8805619478225708,0.51568234
6,2.443717253529771,0.013237372,6057,10469.114698886871,36.15,205968,0.4205659,0.0,38.12358,0.898571103811264,0.4205659
6,2.5324438022494107,0.0039970283,6063,10481.949254512787,38.2,206220,0.20820436,0.0,38.122326,0.8712440431118011,0.20820436
8,2.392221466580629,0.014679808,6071,10494.84945845604,37.675,206502,0.43296558,0.0,38.12244,0.9426534958183765,0.43296558
8,2.4207827779002433,0.003858388,6079,10507.940041542053,38.0,206766,0.17701495,0.0,38.122635,0.9122982695698738,0.17701495
8,2.363548517473867,0.01373887,6087,10520.918991088867,37.25,207029,0.5132377,0.0,38.122547,0.9130030572414398,0.5132377
6,2.263605263705785,0.014046729,6093,10533.933671951294,36.8,207282,0.44036537,0.0,38.120975,0.8354818373918533,0.44036537
8,2.3035170388130375,0.014042977,6101,10546.967862606049,35.45,207553,0.45444638,0.0,38.119755,0.9030976071953773,0.45444638
7,2.374127554601676,0.004022127,6108,10560.175789356232,35.425,207801,0.19288376,0.0,38.118484,0.8794567808508873,0.19288376
