# {"env_id": null, "t_start": 1553348844.0599759} 
r,l,t
1.525578,29,165.678793
0.711459,33,165.943359
1.988889,43,166.301533
0.985921,20,166.470082
2.022948,32,166.735052
1.211681,28,166.969853
1.54395,28,167.206333
2.326029,41,167.917883
1.338705,41,168.255921
1.977289,45,168.627024
1.809768,26,168.847977
1.308461,22,169.031105
1.091733,20,169.198315
2.27599,51,169.619585
0.754396,23,169.805537
1.641648,29,170.478443
0.853306,38,170.796529
2.412662,36,171.094995
1.521792,46,171.474654
1.420189,42,171.825485
1.316261,50,172.237139
1.38773,37,172.923568
1.547867,30,173.175885
1.214417,32,173.448624
1.440487,25,173.65166
1.491432,29,173.896849
1.295105,31,174.147923
1.622632,29,174.38097
1.138666,20,174.554389
1.218229,36,174.855353
1.444494,31,175.762109
0.800861,34,176.041705
0.464443,20,176.209632
0.457524,28,176.443516
2.485563,42,176.790634
2.683833,54,177.235202
2.185508,39,177.554498
1.120687,33,178.488847
0.891972,33,178.763288
1.614565,38,179.076258
1.126546,28,179.310455
2.715307,36,179.609644
2.51251,38,179.926843
1.542738,27,180.142808
1.343728,33,180.408589
0.467584,20,181.256506
1.626702,58,181.736361
2.689263,43,182.088106
1.868314,29,182.32148
1.335744,23,182.506526
2.895372,58,182.989647
1.36355,34,183.273185
1.554399,48,184.320269
1.451037,21,184.491799
2.728136,53,184.913687
1.618878,34,185.19443
1.570152,59,185.67837
1.835858,45,186.040829
1.747477,32,187.025275
1.032289,48,187.426246
1.532398,27,187.642377
2.092634,36,187.941257
2.320773,42,188.292725
1.837942,50,188.708603
1.31444,34,189.626423
1.878076,26,189.841098
1.516725,40,190.170762
1.303539,21,190.340325
1.997213,44,190.701524
1.785482,44,191.068144
2.289375,39,191.386258
1.835257,42,192.416286
1.442156,34,192.698087
1.291466,23,192.885565
1.543775,35,193.169457
0.130017,35,193.454139
2.416455,41,193.787109
1.427195,21,193.959664
1.284213,25,194.165156
1.100669,24,194.362445
1.543878,36,195.327584
1.481267,21,195.497914
0.907275,32,195.768448
1.870647,38,196.080792
1.978949,30,196.331886
0.089469,45,196.696288
1.682976,43,197.044163
1.414681,20,197.211786
1.756612,22,197.785196
1.523319,24,197.9831
2.290841,48,198.382222
1.354276,25,198.590415
1.815654,27,198.806396
2.484407,42,199.154092
1.766069,27,199.370196
2.136659,36,199.663283
1.504256,22,200.284037
1.601784,34,200.565298
1.435541,26,200.780663
1.289038,31,201.03054
1.380101,25,201.229952
1.126894,20,201.398492
0.678202,83,202.061586
2.387552,41,202.831012
2.389776,35,203.115125
0.246147,29,203.34895
2.050297,34,203.629689
2.169987,35,203.915413
0.721115,19,204.068366
0.414718,40,204.396379
2.011212,32,204.657298
1.586592,31,205.341401
1.744512,47,205.723375
1.716565,26,205.940301
2.203534,33,206.206518
2.04426,35,206.493089
1.841626,53,206.919914
0.918024,55,207.795073
1.66894,33,208.063705
1.251779,25,208.266372
1.597523,22,208.447752
1.191715,28,208.681331
1.550306,36,208.979744
1.430356,41,209.309959
2.500796,38,209.623929
2.058219,29,210.28595
0.102492,62,210.78985
2.242654,38,211.103157
1.585976,26,211.325091
1.99593,55,211.769083
1.687513,29,212.001644
1.788146,28,212.234845
1.637308,28,212.878293
1.878915,46,213.260283
0.689035,36,213.559036
1.833533,40,213.892447
2.067429,36,214.188037
0.321713,69,214.748058
1.300951,35,215.402745
1.846288,38,215.718829
1.790713,42,216.062664
2.167854,32,216.327358
1.760305,53,216.756354
1.533179,49,217.160267
2.105158,57,218.074005
0.8556,47,218.456541
2.569346,46,218.829159
2.174764,52,219.252872
1.506423,49,219.644769
1.840082,52,220.614037
1.784051,43,220.962268
1.656765,32,221.22875
1.442035,47,221.609312
1.77829,37,221.909791
1.61973,25,222.11393
1.278229,30,222.361974
1.142977,58,223.4124
2.563791,55,223.862979
1.902527,38,224.180233
1.82489,35,224.463307
2.787403,60,224.960095
2.331629,46,225.731264
0.765687,40,226.056942
0.106818,59,226.537914
1.087934,21,226.706353
1.465975,29,226.940095
1.367112,39,227.259202
1.606152,42,227.604862
1.837012,40,228.444224
1.747551,68,229.008544
2.028068,85,229.703875
1.665256,52,230.136035
1.286216,32,230.797414
2.446367,39,231.109545
0.87406,40,231.444631
1.776212,27,231.663073
2.199882,47,232.043748
1.313529,40,232.379589
2.343701,67,233.314861
1.361659,29,233.552776
1.857845,60,234.046025
1.496239,33,234.315069
1.830189,33,234.578027
1.232164,33,234.844522
1.145865,38,235.16068
3.033161,58,236.181362
1.726449,44,236.551867
2.434824,38,236.869925
1.839872,34,237.154178
1.639401,25,237.358247
0.684205,55,237.812411
0.107985,44,238.515821
1.364508,21,238.688028
1.525675,44,239.051745
1.264759,29,239.287974
2.207677,37,239.588954
1.216267,41,239.923888
1.661116,71,240.917965
0.719282,43,241.270527
1.725522,36,241.5666
1.989487,31,241.822086
2.304002,54,242.26605
2.850045,59,242.746146
1.863806,36,243.507002
2.527311,47,243.885425
2.503948,47,244.266403
1.696508,55,244.715989
1.589365,26,244.934134
0.80384,66,245.862919
0.298786,40,246.197883
1.843465,37,246.503118
1.489768,66,247.04261
1.781775,35,247.325988
2.458953,61,247.831123
2.075109,39,248.50244
1.362313,31,248.756437
1.670499,30,249.004866
0.157785,33,249.270803
2.133323,31,249.52582
2.53335,54,249.972158
1.861067,26,250.188581
2.031987,33,250.880028
1.622618,45,251.24257
0.703447,43,251.607189
1.940373,37,251.931688
3.052229,52,252.364309
0.808538,44,252.726777
2.063485,66,253.625704
1.842267,24,253.829358
2.099284,39,254.145162
1.921906,27,254.364936
1.096324,28,254.599438
1.448068,37,254.895638
0.835899,31,255.143133
1.364666,23,255.330188
0.436277,37,256.05936
0.86061,37,256.35913
2.58951,65,256.88676
0.743682,43,257.233721
1.410895,23,257.41987
1.769717,54,258.3149
0.715329,52,258.74775
1.795442,32,259.016125
2.222235,31,259.268245
1.061613,26,259.484193
1.325804,47,259.896867
1.78483,48,260.29246
0.439928,27,260.871857
1.827583,37,261.170784
1.707823,27,261.390522
1.358735,22,261.574901
2.317898,34,261.860263
1.567014,55,262.31635
1.94794,44,262.679904
0.24916,44,263.452877
1.397683,65,264.00885
2.463754,47,264.388838
0.68324,46,264.769034
1.927717,54,265.216868
2.137092,44,265.937953
1.131305,37,266.2396
1.426712,26,266.455266
1.536633,41,266.790626
1.227339,35,267.074571
0.982073,39,267.392473
0.982733,29,267.629512
2.071487,59,268.508414
1.023809,27,268.726937
2.751744,55,269.169879
1.36343,35,269.451426
3.139444,73,270.041798
2.029223,32,270.304632
1.143171,36,271.148348
2.565119,36,271.453061
2.165612,55,271.904052
2.422105,42,272.265291
1.897884,40,272.600628
1.044228,41,272.936371
1.53769,44,273.679831
2.278097,49,274.075482
0.772497,50,274.490435
2.189154,55,274.946822
2.252194,48,275.345772
1.562529,62,276.247938
2.050087,36,276.553716
1.600599,82,277.226564
2.515298,51,277.639027
3.051899,52,278.497512
2.28372,39,278.812325
2.013304,37,279.113411
1.375742,36,279.406887
1.840894,32,279.67231
1.815574,33,279.938916
0.45554,18,280.088964
0.820189,32,280.353074
2.140414,34,281.24236
2.010188,37,281.547916
1.561461,32,281.815559
1.203473,37,282.112847
2.487226,49,282.507447
1.587893,54,282.960436
2.313936,40,283.288284
1.934692,51,284.256204
1.676827,52,284.73137
1.625148,36,285.062252
2.063518,31,285.34344
1.324859,33,285.637122
1.945239,34,285.948002
0.860794,45,286.68447
2.383939,43,287.041504
1.747053,32,287.30851
1.188655,27,287.526628
1.634221,30,287.776562
1.480171,30,288.021416
1.749945,39,288.336379
1.77704,37,289.16238
1.313385,36,289.461782
1.087463,34,289.745684
1.681078,25,289.952168
2.126969,53,290.382994
1.860508,39,290.697139
1.524867,44,291.061127
2.077803,42,291.979172
0.284351,35,292.272095
2.794032,52,292.706039
2.258489,73,293.308714
1.955048,32,293.578199
1.785561,43,294.283272
