entropy,surrgain,TimestepsSoFar,optimgain,EpLenMean,EpRewMean,EpThisIter,meankl,EpisodesSoFar,ev_tdlam_before,TimeElapsed,entloss
25.185993,0.19706109,2535566,0.19706109,87.125,2.730061509710341,30,0.012214293,36446,0.9665624462068081,7559.458782672882,0.0
25.145145,0.20217633,2538293,0.20217633,88.6,2.659320175373749,30,0.011901519,36476,0.8838914409279823,7567.23891043663,0.0
25.109184,0.19584829,2540705,0.19584829,90.15,2.904561950405715,27,0.011824023,36503,0.9343961179256439,7574.898868322372,0.0
25.115833,0.2018807,2543279,0.2018807,86.575,2.8401097378485938,30,0.011884417,36533,0.8768569529056549,7582.373726129532,0.0
25.099865,0.2178127,2545718,0.2178127,79.95,3.11884105645163,30,0.012266969,36563,0.8186206817626953,7589.868235111237,0.0
25.060135,0.20610204,2548385,0.20610204,92.75,3.0554011448172447,29,0.011771902,36592,0.9226082563400269,7597.529552936554,0.0
25.049053,0.20799577,2550995,0.20799577,85.425,3.320986132188884,31,0.011723638,36623,0.9308301657438278,7605.04776597023,0.0
24.991848,0.2088984,2553644,0.2088984,83.65,3.146431219089377,32,0.011545217,36655,0.8573651611804962,7612.546720266342,0.0
24.99253,0.2142047,2556138,0.2142047,85.9,3.265159204354345,29,0.011830762,36684,0.9270613119006157,7620.184635400772,0.0
24.942917,0.19676043,2558586,0.19676043,82.575,3.012345302251682,30,0.012110743,36714,0.9269987791776657,7627.854111433029,0.0
24.922874,0.21320829,2561269,0.21320829,85.825,3.4863591790998925,30,0.011812305,36744,0.8891501128673553,7635.615990400314,0.0
24.931393,0.20123553,2563837,0.20123553,88.925,2.744488826488432,29,0.011569226,36773,0.9186140224337578,7643.3412919044495,0.0
24.921967,0.20678887,2566071,0.20678887,87.875,3.0539102242135727,25,0.011707564,36798,0.8020921945571899,7650.8848605155945,0.0
24.886425,0.2031484,2568745,0.2031484,86.325,3.133096235010484,31,0.0119619,36829,0.9110002741217613,7658.565026044846,0.0
24.867832,0.20628533,2571250,0.20628533,82.8,2.967886282368844,30,0.011901843,36859,0.8910542652010918,7666.161822557449,0.0
24.856747,0.20474353,2573491,0.20474353,85.775,2.7121632703639174,25,0.01157396,36884,0.7031172513961792,7673.773542165756,0.0
24.848804,0.20499039,2576125,0.20499039,84.75,2.7934715494486317,31,0.012068227,36915,0.8826483562588692,7681.281033039093,0.0
24.807041,0.20810322,2578594,0.20810322,86.1,2.917050381181931,28,0.011587752,36943,0.8876480981707573,7688.902464866638,0.0
